"ds,""y"""
1985-01-01,1847
1986-01-01,1815
1987-01-01,1795
1990-01-01,1913
1991-01-01,1935
1992-01-01,1913
1993-01-01,1899
1994-01-01,1867
1995-01-01,1787
1996-01-01,1721
1997-01-01,1735
1998-01-01,1780
1999-01-01,1741
2000-01-01,1700
2001-01-01,1668
2002-01-01,1612
2003-01-01,1567
2004-01-01,1473
2005-01-01,1366
2006-01-01,1339
2007-01-01,1276
2008-01-01,1244
2009-01-01,1206
2010-01-01,1109
2011-01-01,972
2012-01-01,913
2013-01-01,814
2014-01-01,775
2015-01-01,744
2016-01-01,719
2017-01-01,694
